,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
24,SteveStevens47,@F1 Fan+Support @BristolCity+@LFC +F1/ Football/FormulaE/IndyCar/MotoGP/WSeries/General News+Polls/Horoscopes #211 #LN4 #JFT97 #YNWA - @SteveStevens50 Other Acc,"🔴Bristol, England🔴",83,9735,1366461,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
25,lcracing92,29. So Cal. Car nut. Aspiring racer. Motorsports freak. Truck driver.,"Whittier, CA",1764,799,42329,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
26,Bettina9898,,"Domoszló, Magyarország",3234,1212,289725,149,"A tricky day for @LandoNorris, but he's looking on the positive side. ☺️

One more to go, Lando. 💪

#SaudiArabianGP 🇸🇦 https://t.co/xMn8hskuZf",['SaudiArabianGP']
27,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169268,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
28,Nconde10,IG @ilconnde,"Lugo, Galicia",394,354,2035,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
29,Kam1_8T,,BC,112,16,915,638,"TEAM STANDINGS

Mercedes have a 28-point cushion over Red Bull going into the final round 

#SaudiArabianGP 🇸🇦 #F1 https://t.co/Tz0qatzG3z","['SaudiArabianGP', 'F1']"
30,1Tonia_,human after all,,263,33,1011,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
31,clauandrade15,Sebastian Vettel,,456,475,7861,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
32,ZTTALAVOKA,,,1246,55,3969,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
33,Bettina9898,,"Domoszló, Magyarország",3234,1212,289725,169,"A very happy, but very tired honey badger. 😁🛌

A well-earned sleep coming, @DanielRicciardo. Great job today! 👏

#SaudiArabianGP 🇸🇦 https://t.co/MFnxUzrLRN",[]
34,LynchInofooty,life long nodge fan,,397,198,378,134,"WTF they use for front wings? 

#SaudiArabianGP https://t.co/Ahg84RXHEK",['SaudiArabianGP']
35,locobedoya,"I don't really come from outer space. But I've worked with Beyonce, Missy Elliott, Weezer, Enrique, Mick Jagger, Derulo... alzheimer...",Miami Beach,482,1179,53455,210,"Unfortunately the world feed didn’t show much of it, but we are delighted to see a number of drivers wearing t-shirts with important messages ahead of the race, including Sebastian Vettel wearing one featuring a pride stripe 🙌

#F1 #WeRaceAsOne #SaudiArabianGP https://t.co/zaQ73gLqne",[]
36,NASCHartInc,#LiveStreaming @YouTube https://t.co/dBy92T5Kd4 #InvisibleDisabilities in Motorsports https://t.co/9b3nrLhoJn https://t.co/1C2tEPn0bc,United States,22476,6884,125728,290,Max is incapable of racing cleanly. How many times do I have to tweet this? #F1 #SaudiArabianGP,"['F1', 'SaudiArabianGP']"
37,1stMuganda,,,264,15,80,2698,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
38,valsarb,MIP / ⚕️EMCS,,242,299,1049,32,"Hamilton should be black flagged , look at the replay @fia you morons , not 5 seconds penalty for Verstappen #f1 #SaudiArabianGP https://t.co/bCgs7Z0lSs",['f1']
39,DerpSquad42,F1 Ferrari 🏎 | Yankees ⚾️ | Sooners 🏈 | Thunder 🏀 | 49ers 🏈 | Blues 🏒 |,,287,40,2521,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
40,Salem309,دراما كينج,مزرعة الانسان,173,7165,234077,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
41,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169269,1696,"Bottas gets Ocon for third ON THE LINE! 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/308x8PD3Lj","['SaudiArabianGP', 'F1']"
42,AngelaBerrios,"words, I think, are such unpredictable creatures - 
Médico en Gestación. UC",,1306,633,24532,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
43,CarlyMirandaI,🚀👑,,961,339,4114,2704,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
44,_killahgram,"Dopeness. People who want to make things as dope as possible. And, by default, make money from it. U do U. Lemme do Me..",HoustAtlannaVegas,1421,601,25493,143,"That Mad Max is trending says it all. Irresponsible, selfish, dangerous driving from Verstappen, and nobody should be making excuses for him-- and that includes the FIA. #Formula1 #SaudiArabianGP",[]
45,jaumeip03,"Matemàtiques UV
Futbol i F1 🤍💛❤🧡","Artana, España",201,102,1453,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
46,sjcmulders,,,118,24,395,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
47,Race_Notes,Monitoring the best in motorsport mainly covering #F1.,,3699,2981,2799,28,"No matter who you support we can all agree that the decisions from the race director and race control were shambolic from start to finish. 

#SaudiArabianGP #F1",[]
48,PrimeAnsu,#DubNation,"Santander, España",664,331,5594,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
49,RahmawanIndra,"YOGYAKARTANS // Aktivis Pelestari Lagu Anak : Libur Telah Tiba, Aku Cinta Rupiah //","Jakarta Selatan, DKI Jakarta",860,292,50870,321,"So, so close to a second podium of the season for @OconEsteban!

@ValtteriBottas got him on the line 🤏

#SaudiArabianGP 🇸🇦 #F1 https://t.co/fYaONE7EPm","['SaudiArabianGP', 'F1']"
50,eabreu211,,"Lisbon, Portugal",1146,166,422,143,"That Mad Max is trending says it all. Irresponsible, selfish, dangerous driving from Verstappen, and nobody should be making excuses for him-- and that includes the FIA. #Formula1 #SaudiArabianGP",[]
51,IbkSports,Freelance Writer @Africansinsport | Creative Content Provider @ibksports_wears | Geophysicist | #TeamLaycon,"Lagos, Nigeria",1902,3655,70773,8,"Lewis Hamilton has won the #SaudiArabianGP to go level on points in the championship race with Max Verstappen. 

One more race to go. Delicately poised!

#F1 https://t.co/uAa3TRoqn3",['SaudiArabianGP']
52,chibargo,,,1113,478,5338,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
53,teoag_,MV33 PG10 CL16/@redbullracing 🏎,,1109,348,3631,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
54,francrandy,Stan,Dreamville,1421,2298,133808,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
55,Kam1_8T,,BC,112,16,915,1560,"The big talking point from Jeddah 😱

#SaudiArabianGP 🇸🇦 #F1 https://t.co/bkWWqlcbyO","['SaudiArabianGP', 'F1']"
56,WWallopau,Wish you were here.....!!,Somewhere in Mexico City....!!,2948,131,151858,67,"Max Verstappen and Lewis Hamilton next weekend at the #AbuDhabiGP 
#SaudiArabianGP https://t.co/YE1ChP5JSZ","['AbuDhabiGP', 'SaudiArabianGP']"
57,LindaLeeman1961,I love humor and love SF. I do volunteers work with elderly people. And a big fan of Ajax Amsterdam ❌❌❌ and Max Verstappen🏎🏎,"Amsterdam, Nederland",165,18,1755,1018,"Final classification after a crazy race in Jeddah 👇

#SaudiArabianGP 🇸🇦 #F1 https://t.co/d1pvEnL5Ei","['SaudiArabianGP', 'F1']"
58,LH44_Lisa,"BA, Autoimmune conds/bad👁...❤ @LewisHamilton is my life! 🏁 (#GOAT🌟🌟🌟🌟🌟🌟🌟) @Team_LH & F1! Oh & boxing/kickboxing! #TeamLH #LH44 #NeverGiveUp","Sussex, UK",1142,1327,29863,0,"@LewisHamilton 😍 Congratulations #win103 🏁🏆🏁 What a crazy race but once again, after everything thrown at you, you came out 🔛🔝  You are #SimplyTheBest 👊🏾 #SaudiArabianGP  #TeamLH https://t.co/UTZKqdnba6","['win103', 'SimplyTheBest', 'SaudiArabianGP', 'TeamLH']"
59,Alexis_Roger_,Kedge BS | Bordeaux - Paris,,309,678,11083,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
60,Packoi21,,,1168,220,11010,68,"Max Verstappen &amp; Lewis Hamilton have been with the stewards over *that* incident.

Verdict still awaited.

#SkyF1 | #F1 | #SaudiArabianGP 🇸🇦","['SkyF1', 'F1']"
61,Malcolm_m1lgr4u,@SantosFC ⚪⚫ @LewisHamilton ✊🏿👑🖤,"Mogi das Cruzes, São Paulo",2678,3726,134835,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
62,WeeJas19,Melissa Shaw💍,"Edinburgh, Scotland",49,27,307,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
63,Dennix_S,,,38,2,38,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
64,dltluismo,,"Jalisco, México",516,228,5163,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
65,PetkarActually,"Green🌱 & wildlife enthusiast,
Raising Up for a cause,
Hope is Divine✨
Every hundredth of seconds matters✨","Bengaluru, India",114,7,169,0,"It is what it is, 
So, it's all down to Abu Dhabi.
🚀

Max 🦁

#SaudiArabianGP
#SaudiArabiaGP 
#MaxVerstappen","['SaudiArabianGP', 'SaudiArabiaGP', 'MaxVerstappen']"
66,becky_wingett,,"London, England",108,368,5926,3920,"DRIVER STANDINGS

For the first time since 1974, our top two go into the finale TIED on points 🤯

#SaudiArabianGP 🇸🇦 #F1 https://t.co/aWnshxNyT7","['SaudiArabianGP', 'F1']"
67,gerrard2384,"El mundo cambia, nosotros cambiamos, nada es para siempre y todo sucede por algo. Solos llegamos y solos nos vamos chavalones. 👑",Mexico Mexico,4962,1922,173884,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
68,camimaidanae,"Ing. Informática FP-UNA. 🇵🇾💕
Cuando sientas que ya no puedes más, inténtalo otra vez 💙","Asuncion, Paraguay",1956,1126,55523,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
69,jesus_yon,I pretend for a living 🏃‍♂️🃏⚾️🎬🎮🤼‍♂️,,2510,111,4554,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
70,JaimeJRFS,,,3736,297,5156,1560,"The big talking point from Jeddah 😱

#SaudiArabianGP 🇸🇦 #F1 https://t.co/bkWWqlcbyO","['SaudiArabianGP', 'F1']"
71,f1andsun,Living under the bright sun while enjoying formula 1,Aruba,40,0,139,227,"For those of you pushing the British media's ""Max left no space"" bs, use your eyes please.
#SaudiArabianGP https://t.co/YJyaDnjhoF",['SaudiArabianGP']
72,_clarecatherine,,,1132,1037,56462,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
73,reglimagrain,Arable Technical Manager for Limagrain UK. Views are my own.,"Rothwell, Lincolnshire",5001,2843,13852,273,"What a race! What drama!

Max Verstappen and Lewis Hamilton will go to the Abu Dhabi decider LEVEL ON POINTS 😳

You couldn't make this up, honestly 🏁

📺 #SaudiArabianGP reaction on Sky Sports F1

https://t.co/npLrZQSSCd",[]
74,Michaels051001,20-Chelsea FC-Surrey CCC member-Merchant Navy cadet @ Warsash,"Southampton, England",246,60,7260,149,"A tricky day for @LandoNorris, but he's looking on the positive side. ☺️

One more to go, Lando. 💪

#SaudiArabianGP 🇸🇦 https://t.co/xMn8hskuZf",['SaudiArabianGP']
75,zahirh24k,,,172,36,3457,1523,"⚠️ 5 SECOND PENALTY

Max Verstappen is handed a five-second penalty for leaving the track and gaining an advantage

#SaudiArabianGP 🇸🇦 #F1",['SaudiArabianGP']
76,JeanJohansson,TV Presenter. @BBCOne Animal Park 🐾 Reporter @bbctheoneshow. Presenter @Channel4 @aplaceinthesun. Host @channel5_tv Is it a Con?. Columnist @Sunday_Mail.,Glasgow & London,3072,23957,16762,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
77,Bettina9898,,"Domoszló, Magyarország",3234,1212,289725,13,"Two drives to be proud of. 💚 

We narrowly missed out on points today but we leave knowing we gave it everything. 

Catch up on all the action from an exhilarating inaugural #SaudiArabianGP.",[]
78,AstridNij,,,57,46,139,35,Mercedes F1 reveals new sponsor #Formula1 #SaudiArabianGP #FIA https://t.co/Sf1mJYe0G3,"['Formula1', 'SaudiArabianGP', 'FIA']"
79,cfemoreira,sports fan and enthusiast,"Curitiba, Paraná, Brasil",83,10,170,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
80,Natts_Lopez,"A girl from Argentina who loves fashion, music, comics, NFL and football.
Love watching sports and criminal series.
#CARP #COYG #MiaSanMia #GoPats #Marvel #DC",ARG/UK/GER/USA/NED,5002,1361,169269,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
81,bernalrosama,i love the strokes,"Panama City, Panama",408,778,8563,15130,"ONE RACE TO GO. ZERO POINTS IN IT.

Who wins?!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/6RfnXMutH7","['SaudiArabianGP', 'F1']"
82,Mah_PeBo,Nem sei oq estou fazendo aqui,,52,4,412,159,"Max on Ziggo: ""Im not gonna talk about it, they don't deserve a word out of my mouth"".
#SaudiArabianGP",['SaudiArabianGP']
83,AngelG11181920,"Big fan of DH #11 FedEx Toyota Camry 📦🏆🏁
They're ovals not circles.

BAMA '24🐘",,469,134,3733,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
84,ita_jorge,Preocúpate por lo que piensen los demás y siempre serás su prisionero.,✈️,191,89,5849,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
85,jordenfree22,||🇯🇲🛫🇧🇸🛫🇺🇸|| Fear no man but God🙏🏽|| SU ‘24⚽️🐯||,United States,982,575,4965,428,"Bottas on the podium 👀🤣
#SaudiArabianGP #WTF1 https://t.co/qdt7YHH5Rq","['SaudiArabianGP', 'WTF1']"
86,WWallopau,Wish you were here.....!!,Somewhere in Mexico City....!!,2948,131,151858,11602,"LEWIS HAMILTON TAKES THE 🏁

And with the fastest lap, he moves level in the championship race with Max Verstappen on 369.5 points!

#SaudiArabianGP 🇸🇦 #F1 https://t.co/hnHfPElD3J",[]
87,arfhur,"La música es el transporte que te hace viajar sin moverte, te hace recordar lo que creías olvidado, te puede destruir o levantar en segundos.",Veracruz de Ignacio de la Llav,235,27,5375,2705,"Where to start? We finished 2nd, after an eventful race and a lot of things happened that I don’t fully agree with. I went for it on track and gave it my all. Thanks to all fans, for supporting me and voting me Driver Of The Day! On to Abu Dhabi #KeepPushing 🇸🇦 #SaudiArabianGP https://t.co/5kV8083ebd",[]
